epoch,train_loss,train_accuracy,test_accuracy,learning_rate,epoch_time
1,4.5269717086445205,2.4266666666666667,4.53,0.01999999999999999,53.06469
2,4.315061943097548,5.446666666666666,7.51,0.020000143542486415,47.898392
3,4.156487882137299,8.215555555555556,9.75,0.02000057416948786,48.500729
4,4.0255731615153225,10.537777777777778,11.6,0.020001291879630706,48.38206
5,3.9022658602757887,12.908888888888889,13.56,0.02000229667062553,48.065636
6,3.7452362829988655,16.27111111111111,15.31,0.02000358853926726,48.062622
7,3.6181284378875387,18.802222222222223,17.7,0.020005167481434993,50.723341
8,3.4963101717558773,21.65111111111111,19.0,0.020007033492092208,49.165272
9,3.3766114196994086,24.435555555555556,26.33,0.020009186565286663,49.51617
10,3.2713701101866635,27.126666666666665,29.68,0.02001162669415041,49.123304
11,3.175397981296886,29.504444444444445,29.02,0.02001435387089978,50.427421
12,3.098129602995786,31.493333333333332,35.71,0.020017368086835602,49.176421
13,3.006072456186468,33.92666666666667,38.23,0.020020669332343005,50.883851
14,2.9332593137567695,35.60666666666667,39.12,0.02002425759689158,48.307745
15,2.8560011251406237,37.76444444444444,40.48,0.020028132869035348,47.811864
16,2.795731536366723,39.37555555555556,42.58,0.02003229513641286,47.61942
17,2.750945568084717,40.50888888888889,41.0,0.020036744385747124,47.700297
18,2.682160412723368,42.76888888888889,46.63,0.02004148060284583,48.710362
19,2.635965620929545,43.98,48.89,0.020046503772601254,48.175168
20,2.5853436805985193,45.37555555555556,50.32,0.020051813878990243,50.376145
21,2.5440665673125875,46.78666666666667,43.02,0.020057410905074513,47.606973
22,2.5024555813182485,47.971111111111114,53.8,0.020063294833000456,48.041875
23,2.4658738645640286,48.78666666666667,53.08,0.020069465643999335,48.60503
24,2.4204744046384636,50.29555555555555,53.57,0.020075923318387312,47.853173
25,2.3847545249895616,51.46888888888889,56.17,0.02008266783556542,46.942932
26,2.356619442051107,52.315555555555555,54.39,0.020089699174019843,51.08067
27,2.31736867536198,53.22222222222222,58.51,0.02009701731132177,47.301668
28,2.2883292219855567,54.57333333333333,57.79,0.02010462222412754,48.201456
29,2.2550496106797997,55.09777777777778,56.59,0.02011251388817878,47.691546
30,2.223434101451527,56.26888888888889,59.29,0.02012069227830235,48.257298
31,2.200444982810454,56.888888888888886,60.29,0.020129157368410616,48.805032
32,2.1895991672169077,57.477777777777774,60.73,0.02013790913150132,49.981913
33,2.146146462722258,58.653333333333336,60.21,0.020146947539657817,47.871512
34,2.133415704423731,58.971111111111114,59.98,0.020156272564049033,48.075328
35,2.100085110826926,59.92444444444445,61.47,0.020165884174929788,48.196381
36,2.0807800753550096,60.44,59.52,0.02017578234164058,48.941071
37,2.0654096738858656,60.815555555555555,62.09,0.020185967032607943,47.651858
38,2.031308725476265,62.077777777777776,63.95,0.02019643821534442,49.938969
39,2.01125313883478,62.882222222222225,64.54,0.020207195856448645,48.499039
40,1.9931768558242104,63.43333333333333,63.27,0.02021823992160557,48.128449
41,1.9739806679162113,63.87777777777778,65.73,0.02022957037558648,46.668795
42,1.9460485685955395,64.95333333333333,65.21,0.0202411871822491,48.593079
43,1.9383022609082134,65.0911111111111,63.1,0.020253090304537785,47.320311
44,1.9147166189822284,65.60222222222222,65.31,0.020265279704483496,48.042934
45,1.9026696532964706,66.11777777777777,66.4,0.02027775534320414,51.314989
46,1.8815316314047033,66.96222222222222,65.75,0.02029051718090452,48.180705
47,1.8646455447782169,67.42888888888889,66.41,0.020303565176876426,48.699231
48,1.8441634625196457,68.22222222222223,66.27,0.020316899289499063,49.042
49,1.8379218199036338,68.28222222222222,67.4,0.020330519476238706,48.798459
50,1.8193556476723065,68.89111111111112,67.41,0.020344425693649304,48.713759
51,1.8050215203653683,69.2088888888889,67.11,0.02035861789737234,52.742909
52,1.7848254347389394,70.12222222222222,65.39,0.020373096042136996,48.157487
53,1.7692875523458829,70.45555555555555,68.25,0.020387860081760495,48.74752
54,1.7746137367053465,70.36666666666666,67.45,0.02040290996914798,48.436893
55,1.7571896409446544,70.99555555555555,67.87,0.0204182456562928,48.743229
56,1.737140330401334,71.68666666666667,66.71,0.020433867094276692,48.604848
57,1.7244912087917328,71.96,68.05,0.020449774233269907,50.625586
58,1.7185009745034305,72.21111111111111,68.5,0.020465967022531256,48.955208
59,1.6900576908480038,73.49333333333334,68.46,0.0204824454104085,49.687789
60,1.691093232144009,73.18,68.9,0.020499209344338354,49.697814
61,1.6828944208947094,73.34444444444445,69.02,0.02051625877084659,49.752491
62,1.672992545095357,73.69333333333333,69.81,0.020533593635548436,49.281463
63,1.658932389183478,74.31111111111112,69.55,0.020551213883148595,53.09558
64,1.6453038210218602,74.64666666666666,69.6,0.02056911945744133,48.601592
65,1.6353309208696538,74.78666666666666,69.58,0.020587310301310946,48.502514
66,1.6339256790551273,75.0111111111111,69.62,0.02060578635673163,48.09847
67,1.628781256350604,75.28666666666666,68.22,0.020624547564767864,48.925639
68,1.6124711957844822,75.95111111111112,70.43,0.020643593865574517,49.127331
69,1.6044462499293415,76.25333333333333,69.55,0.020662925198397103,52.688357
70,1.5939474756067449,76.49333333333334,70.41,0.020682541501571866,48.835187
71,1.581382621418346,76.84444444444445,71.27,0.02070244271252608,48.622898
72,1.5723205777731808,77.1511111111111,69.03,0.020722628767778195,48.596198
73,1.572264697064053,77.18222222222222,71.04,0.02074309960293813,47.808783
74,1.566167258403518,77.45777777777778,70.55,0.020763855152707233,48.846661
75,1.5585636035962538,77.58444444444444,70.11,0.02078489535087885,50.571003
76,1.5480909794569016,78.04222222222222,69.99,0.0208062201303382,48.375221
77,1.5592850676991723,77.88222222222223,69.85,0.020827829423062855,48.133681
78,1.546603485941887,78.24222222222222,69.51,0.020849723160122735,48.128327
79,1.5345107154412703,78.68666666666667,70.7,0.020871901271680537,48.583704
80,1.5233876352960414,78.98666666666666,71.47,0.020894363686991685,48.508431
81,1.5226260667497462,78.95555555555555,70.56,0.020917110334404937,50.294454
82,1.514902798966928,79.30888888888889,69.2,0.020940141141362195,50.621556
83,1.5079589906063946,79.66222222222223,70.41,0.020963456034399086,50.041709
84,1.5088846439665013,79.41777777777777,69.61,0.02098705493914496,49.435474
85,1.4945050152865322,79.93111111111111,71.68,0.021010937780323286,49.552363
